Speaker,Timestamp,Context
SPEAKER_01,262.536,"And when the alarm goes, what's the mind saying?"
SPEAKER_01,265.397,"The first thing, you slept late last night, take it easy."
SPEAKER_01,269.798,Or maybe this is not the right thing for you to do.
SPEAKER_01,272.639,"The mind's constantly playing games, right?"
SPEAKER_01,275.02,"Now, if you have a mind which is constantly giving these kind of reasons, you're not going to wake up."
SPEAKER_01,281.495," On the other hand, if you learn to train your mind using the proper intellectual process, proper spiritual process, your mind can be your greatest asset and your friend."
SPEAKER_00,291.822,"Which is meditation, good books."
SPEAKER_01,292.903,"Meditation, books, correct friends."
SPEAKER_01,295.825,"Correct friends, the right kind of company."
SPEAKER_01,297.746,All of these are inputs so that your mind kind of becomes a friend.
SPEAKER_01,301.208,"And the third thing from the Gita that connects to me a lot is, how do we start looking at the presence of divinity everywhere in every aspect?"
SPEAKER_01,310.99, We don't have to necessarily go to a place of worship to look at the presence of divinity.
SPEAKER_01,316.772,You can look at the presence of divinity in nature.
SPEAKER_01,318.893,You can look at the presence of divinity in other people.
SPEAKER_01,321.474,You can start looking at the splendor of the creator or the creation.
SPEAKER_01,326.435,"You can start looking at the splendor of the creator in the creation, you know, which is precisely why this is something that I usually tell people is when you look at somebody who's better than you, you know, and especially if they're in the same field,"
SPEAKER_01,342.055, Usually there is insecurity.
SPEAKER_01,344.537,There is insecurity that this guy is doing better than me in what I am doing.
SPEAKER_01,348.86,"Or there is envy, jealousy."
SPEAKER_01,352.362,Sometimes it goes to the extent of sabotaging that other person's work.
SPEAKER_01,357.165,And it has happened in the world.
SPEAKER_01,358.306,It happens all the time.
SPEAKER_01,359.927,"So when you start looking at divinity in creation,"
SPEAKER_01,364.136, You start looking at how divinity has empowered somebody to do something in a special way.
SPEAKER_01,372.199,"That person has been gifted by higher powers, right?"
SPEAKER_01,376.32,"And to sabotage that person's work or to be envious about that person or to feel insecure means actually insulting somebody who's given that gift, you know?"
SPEAKER_01,387.524,"But if I look at that person and derive inspiration from that person,"
SPEAKER_01,392.646, I can seek that inspiration to follow my aspiration.
SPEAKER_01,397.529,That aspect of the Gita also kind of really resonates with me that you start looking at divinity everywhere and in every place around you including people who are doing better because it's not them you can see straight away.
SPEAKER_01,412.376,Very often I see people who do remarkable stuff
SPEAKER_01,415.862," And they usually, when they speak, they say it's they doing it."
SPEAKER_01,419.043,"And of course, they're doing it."
SPEAKER_01,420.844,No doubt that there's a part that they're doing.
SPEAKER_01,423.765,But you can tell that there's something beyond them that's kind of making them do it.
SPEAKER_01,428.247,"Whether it's acting, speaking, singing, something."
SPEAKER_01,431.668,There's an element which is not necessarily effort.
SPEAKER_01,435.189,Not their effort.
SPEAKER_01,436.57,X factor.
SPEAKER_01,437.41,X factor.
SPEAKER_01,438.53,"And when you start appreciating that X factor as divinity, oh, that's something that really kind of connects to me as well."
